Day,Y,Updated Y,OverallInfectionRate
120,0.00212107149787941000,0.00216028868513342000,0.89
121,0.00195343432702091000,0.00199265151427492000,0.89
122,0.00179980697729812000,0.00183902416455213000,0.89
123,0.00165893417182773000,0.00169815135908174000,0.89
124,0.00152968049571966000,0.00156889768297367000,0.89
125,0.00141101874437478000,0.00145023593162880000,0.89
126,0.00130201928180663000,0.00134123646906064000,0.89
127,0.00120184037055164000,0.00124105755780565000,0.89
128,0.00110971941920774000,0.00114893660646176000,0.89
129,0.00102496508489231000,0.00106418227214632000,0.89
130,0.00094695016396360000,0.00098616735121761300,0.89
131,0.00087510520372861000,0.00091432239098262300,0.89
132,0.00080891276947289500,0.00084812995672690800,0.89
133,0.00074790230419627300,0.00078711949145028600,0.89
134,0.00069164552234573200,0.00073086270959974500,0.89
135,0.00063975228319316500,0.00067896947044717800,0.89
136,0.00059186689402481300,0.00063108408127882600,0.89
137,0.00054766479779672100,0.00058688198505073400,0.89
138,0.00050684960423842800,0.00054606679149244100,0.89
139,0.00046915042747593400,0.00050836761472994800,0.89
140,0.00043431949704991300,0.00047353668430392600,0.89
